id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways	gprfeat
rxn05145_c0	=	Cytosol_0	((ASE09_RS04845 or ASE09_RS01380 or ASE09_RS29630 or ASE09_RS21440) and (ASE09_RS01355 or ASE09_RS21450 or ASE09_RS04860) and (ASE09_RS21445 or ASE09_RS01385 or ASE09_RS04855) and (ASE09_RS04850 or ASE09_RS01390))	phosphate-transporting ATPase_c0	3.A.1.7|TC-3.A.1.7	-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00009[e0] <=> (1)  cpd00008[c0] + (2)  cpd00009[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Phosphate_e0[e0] <=> (1)  ADP_c0[c0] + (2)  Phosphate_c0[c0] + (1)  H+_c0[c0]	rxn05145	PIabc				Unknown
rxn01872_c0	=	Cytosol_0	ASE09_RS11385	succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase_c0		9.53		(1)  cpd00078[c0] + (1)  cpd00449[c0] <=> (1)  cpd00010[c0] + (1)  cpd00860[c0]	(1)  Succinyl-CoA_c0[c0] + (1)  Dihydrolipoamide_c0[c0] <=> (1)  CoA_c0[c0] + (1)  S-Succinyldihydrolipoamide_c0[c0]	rxn01872	AKGDbr	R02570	Citrate cycle (TCA cycle)		(fig|1736582.3.peg.2382)
rxn01301_c0	=	Cytosol_0	ASE09_RS11705	L-Homoserine:NAD+ oxidoreductase_c0		5.22		(1)  cpd00003[c0] + (1)  cpd00227[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00346[c0]	(1)  NAD_c0[c0] + (1)  L-Homoserine_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  L-Aspartate4-semialdehyde_c0[c0]	rxn01301	HOM6_1	R01773	Glycine, serine and threonine metabolism|Cysteine and methionine metabolism|Lysine biosynthesis	Amino-Acid-Biosynthesis|Biosynthesis|HOMOSERSYN-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|Other-Amino-Acid-Biosynthesis|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY	(fig|1736582.3.peg.2451)
rxn01643_c0	<	Cytosol_0	(ASE09_RS29720 or ASE09_RS15505)	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0		-9.89		(1)  cpd00006[c0] + (1)  cpd00009[c0] + (1)  cpd00346[c0] <= (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd01977[c0]	(1)  NADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  L-Aspartate4-semialdehyde_c0[c0] <= (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  4-Phospho-L-aspartate_c0[c0]	rxn01643	ASAD	R02291	Glycine, serine and threonine metabolism|Cysteine and methionine metabolism|Lysine biosynthesis	Amino-Acid-Biosynthesis|Biosynthesis|DAPLYSINESYN-PWY|HOMOSERSYN-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|LYSINE-SYN|MET-SAM-PWY|METHIONINE-SYN|METSYN-PWY|Other-Amino-Acid-Biosynthesis|P101-PWY|P4-PWY|PWY0-781|Polyamine-Biosynthesis|Spermidine-Biosynthesis|THREONINE-BIOSYNTHESIS|THRESYN-PWY	(fig|1736582.3.peg.3235 OR fig|1736582.3.peg.6224)
rxn04457_c0	>	Cytosol_0	Unknown	R06605_c0		-9.78		(1)  cpd09027[c0] => (1)  cpd00011[c0] + (1)  cpd01567[c0]	(1)  5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate_c0[c0] => (1)  CO2_c0[c0] + (1)  (R) -Allantoin_c0[c0]	rxn04457		R06605	Purine metabolism		
rxn00248_c0	=	Cytosol_0	ASE09_RS01825	(S)-malate:NAD+ oxidoreductase_c0		6.22		(1)  cpd00003[c0] + (1)  cpd00130[c0] <=> (1)  cpd00004[c0] + (1)  cpd00032[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  L-Malate_c0[c0] <=> (1)  NADH_c0[c0] + (1)  Oxaloacetate_c0[c0] + (1)  H+_c0[c0]	rxn00248	MDH	R00342	Citrate cycle (TCA cycle)|Pyruvate metabolism|Glyoxylate and dicarboxylate metabolism|Methane metabolism|Carbon fixation in photosynthetic organisms|Carbon fixation pathways in prokaryotes	ANAEROBIC-RESPIRATION|ANARESP1-PWY|ASPARTATE-DEG|Amino-Acid-Degradation|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|Formaldehyde-Assimilation|GLUCONEO-PWY|GLUTAMATE-DEG|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|GLYOXYLATE-BYPASS|Gluconeogenesis|MALATE-ASPARTATE-SHUTTLE-PWY|MALATE-OXALOACETATE-SHUTTLE|P105-PWY|P108-PWY|P23-PWY|P42-PWY|Pyruvate-Degradation|Reductive-TCA-Cycles|Respiration|TCA|TCA-GLYOX-BYPASS|TCA-VARIANTS|Transport-Pathways	(fig|1736582.3.peg.384)
rxn00295_c0	=	Cytosol_0	(ASE09_RS08495 or ASE09_RS08460 or ASE09_RS08470 or ASE09_RS19905 or ASE09_RS19215 or ASE09_RS33215 or ASE09_RS15755 or ASE09_RS06070 or ASE09_RS26750)	UDP-N-acetyl-D-glucosamine 4-epimerase_c0	5.1.3.7	0.0		(1)  cpd00037[c0] <=> (1)  cpd00175[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] <=> (1)  UDP-N-acetyl-D-galactosamine_c0[c0]	rxn00295	UAG4E	R00418	Amino sugar and nucleotide sugar metabolism	Biosynthesis|Cell-Structure-Biosynthesis|Polyamine-Biosynthesis|UDP-Nac-Galactosamine-Biosynthesis	(fig|1736582.3.peg.4000 OR fig|1736582.3.peg.1945 OR fig|1736582.3.peg.5596 OR fig|1736582.3.peg.6927 OR fig|1736582.3.peg.4140 OR fig|1736582.3.peg.3283)
rxn05385_c0	=	Cytosol_0	(ASE09_RS07135 or ASE09_RS29610 or ASE09_RS18520 or ASE09_RS18855 or ASE09_RS08455 or ASE09_RS19480 or ASE09_RS16210 or ASE09_RS33320 or ASE09_RS08995 or ASE09_RS33570 or ASE09_RS13670 or ASE09_RS05730 or ASE09_RS17685)	5-methyl-3-oxo-hexanoyl-ACP:NADP+ oxidoreductase_c0		-3.76		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd11521[c0] <=> (1)  cpd00006[c0] + (1)  cpd11522[c0]	(1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  5-methyl-3-oxo-hexanoyl-ACP_c0[c0] <=> (1)  NADP_c0[c0] + (1)  5-methyl-3-hydroxy-hexanoyl-ACP_c0[c0]	rxn05385					Unknown
rxn00707_c0	=	Cytosol_0	ASE09_RS13040	ITP:cytidine 5'-phosphotransferase_c0		-14.03		(1)  cpd00068[c0] + (1)  cpd00367[c0] <=> (1)  cpd00046[c0] + (1)  cpd00067[c0] + (1)  cpd00090[c0]	(1)  ITP_c0[c0] + (1)  Cytidine_c0[c0] <=> (1)  CMP_c0[c0] + (1)  H+_c0[c0] + (1)  IDP_c0[c0]	rxn00707	CYTDK3	R00962	Pyrimidine metabolism		(fig|1736582.3.peg.2730)
rxn00369_c0	=	Cytosol_0	ASE09_RS18860	GTP:cytidine 5'-phosphotransferase_c0		-14.03		(1)  cpd00038[c0] + (1)  cpd00367[c0] <=> (1)  cpd00031[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0]	(1)  GTP_c0[c0] + (1)  Cytidine_c0[c0] <=> (1)  GDP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0]	rxn00369	CYTDK2	R00517	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-163|PYR-NUC-SYN|Pyrimidine-Nucleotide-Salvage	Unknown
rxn06937_c0	>	Cytosol_0	(ASE09_RS20140 or ASE09_RS07300)	L-glutamate:tRNA(Glu) ligase (AMP-forming)_c0				(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd11912[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd12227[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  tRNA-Glu_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  H+_c0[c0] + (1)  L-Glutamyl-tRNA-Glu_c0[c0]	rxn06937	GLUTRS	R05578	Porphyrin and chlorophyll metabolism|Aminoacyl-tRNA biosynthesis		(fig|1736582.3.peg.4190 OR fig|1736582.3.peg.1517)
rxn01637_c0	=	Cytosol_0	ASE09_RS24540	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase_c0		-1.0		(1)  cpd00024[c0] + (1)  cpd00342[c0] <=> (1)  cpd00023[c0] + (1)  cpd00918[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  N-Acetylornithine_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  2-Acetamido-5-oxopentanoate_c0[c0]	rxn01637	ACOTA	R02283	Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis	Unknown
rxn05564_c0	=	Cytosol_0	ASE09_RS15570	Proline-specific permease_c0		0.0		(1)  cpd00067[e0] + (1)  cpd00281[e0] <=> (1)  cpd00067[c0] + (1)  cpd00281[c0]	(1)  H+_e0[e0] + (1)  GABA_e0[e0] <=> (1)  H+_c0[c0] + (1)  GABA_c0[c0]	rxn05564	ABUTt2				(fig|1736582.3.peg.3248)
rxn00566_c0	>	Cytosol_0	(ASE09_RS31555 or ASE09_RS01195)	L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming)_c0		-7.77		(1)  cpd00001[c0] + (1)  cpd00084[c0] => (1)  cpd00013[c0] + (1)  cpd00020[c0] + (1)  cpd00067[c0] + (1)  cpd00239[c0]	(1)  H2O_c0[c0] + (1)  L-Cysteine_c0[c0] => (1)  NH3_c0[c0] + (1)  Pyruvate_c0[c0] + (1)  H+_c0[c0] + (1)  H2S_c0[c0]	rxn00566		R00782	Cysteine and methionine metabolism	Amino-Acid-Degradation|CYSTEINE-DEG|Degradation|LCYSDEG-PWY	(fig|1736582.3.peg.253 OR fig|1736582.3.peg.6591)
rxn00708_c0	>	Cytosol_0	ASE09_RS04805	Uridine 5'-monophosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00091[c0] => (1)  cpd00009[c0] + (1)  cpd00249[c0]	(1)  H2O_c0[c0] + (1)  UMP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  Uridine_c0[c0]	rxn00708	NTD2	R00963	Pyrimidine metabolism		(fig|1736582.3.peg.992)
rxn07433_c0	=	Cytosol_0	(ASE09_RS32105 and ASE09_RS32100)	R07602_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd14698[c0] <=> (1)  cpd00056[c0] + (1)  cpd14699[c0]	(1)  Lipoamide_c0[c0] + (1)  3-Methyl-1-hydroxybutyl-TPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-(3-Methylbutanoyl) -dihydrolipoamide-E_c0[c0]	rxn07433		R07602	Valine, leucine and isoleucine degradation		(fig|1736582.3.peg.6701 OR fig|1736582.3.peg.6719) AND (fig|1736582.3.peg.6702 OR fig|1736582.3.peg.6720)
rxn00747_c0	=	Cytosol_0	ASE09_RS19005	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0		-1.46		(1)  cpd00102[c0] <=> (1)  cpd00095[c0]	(1)  Glyceraldehyde3-phosphate_c0[c0] <=> (1)  Glycerone-phosphate_c0[c0]	rxn00747	TPI	R01015	Glycolysis / Gluconeogenesis|Fructose and mannose metabolism|Inositol phosphate metabolism|Carbon fixation in photosynthetic organisms	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|CO2-Fixation|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P185-PWY|P341-PWY|P441-PWY|P461-PWY|PHOTOALL-PWY|PWY66-373|Photosynthesis|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS	(fig|1736582.3.peg.3957)
rxn01334_c0	=	Cytosol_0	ASE09_RS29505	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0		2.56		(1)  cpd00349[c0] <=> (1)  cpd00095[c0] + (1)  cpd00236[c0]	(1)  Sedoheptulose 1,7-bisphosphate_c0[c0] <=> (1)  Glycerone-phosphate_c0[c0] + (1)  D-Erythrose4-phosphate_c0[c0]	rxn01334	FBA3	R01829	Carbon fixation in photosynthetic organisms	Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CALVIN-PWY|CARBO-BIOSYNTHESIS|CO2-Fixation|Carbohydrates-Biosynthesis|Degradation|Energy-Metabolism|PHOTOALL-PWY|PWY0-1517|Photosynthesis	(fig|1736582.3.peg.6179)
rxn00830_c0	=	Cytosol_0	ASE09_RS22715	Isopentenyl-diphosphate delta3-delta2-isomerase_c0		0.66		(1)  cpd00113[c0] <=> (1)  cpd00202[c0]	(1)  Isopentenyldiphosphate_c0[c0] <=> (1)  DMAPP_c0[c0]	rxn00830	IDI1	R01123	Terpenoid backbone biosynthesis	All-Trans-Farnesyl-PP-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|Energy-Metabolism|GGPP-Biosynthesis|ISOPRENOIDS|Lipid-Biosynthesis|NONMEVIPP-PWY|Other-biosynthesis|POLYISOPRENSYN-PWY|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis	(fig|1736582.3.peg.4747)
rxn05219_c0	>	Cytosol_0	(ASE09_RS24625 and Unknown and ASE09_RS24630)	nonpolar-amino-acid-transporting ATPase_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00060[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00060[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  L-Methionine_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  L-Methionine_c0[c0] + (1)  H+_c0[c0]	rxn05219	METabc				(fig|1736582.3.peg.5149) AND (fig|1736582.3.peg.5148) AND (Unknown)
rxn10113_c0	>	Cytosol_0	((ASE09_RS31480 and ASE09_RS31485) or (Unknown and Unknown and ASE09_RS01655 and ASE09_RS21115 and Unknown) or (Unknown and Unknown and Unknown and Unknown and ASE09_RS17890 and Unknown and Unknown and Unknown and Unknown and ASE09_RS17885) or (ASE09_RS31475 and Unknown and Unknown and Unknown and (ASE09_RS31475 or ASE09_RS14995) and Unknown))	cytochrome oxidase bo3 (ubiquinol-8: 2.5 protons)_c0		-36.95		(0.5)  cpd00007[c0] + (2.5)  cpd00067[c0] + (1)  cpd15561[c0] => (1)  cpd00001[c0] + (2.5)  cpd00067[e0] + (1)  cpd15560[c0]	(0.5)  O2_c0[c0] + (2.5)  H+_c0[c0] + (1)  Ubiquinol-8_c0[c0] => (1)  H2O_c0[c0] + (2.5)  H+_e0[e0] + (1)  Ubiquinone-8_c0[c0]	rxn10113	CYTBO3				(fig|1736582.3.peg.6577) AND (fig|1736582.3.peg.6576) AND (Unknown) AND (Unknown) AND (fig|1736582.3.peg.4402) AND (fig|1736582.3.peg.347) AND (Unknown) AND (Unknown) AND (Unknown) AND (Unknown) AND (Unknown) AND (Unknown) AND (fig|1736582.3.peg.3727) AND (Unknown) AND (Unknown) AND (Unknown) AND (Unknown)
rxn00879_c0	=	Cytosol_0	ASE09_RS26710	myo-Inositol:NAD+ 2-oxidoreductase_c0		2.3		(1)  cpd00003[c0] + (1)  cpd00121[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00524[c0]	(1)  NAD_c0[c0] + (1)  L-Inositol_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  2-Inosose_c0[c0]	rxn00879	INS2D	R01183	Streptomycin biosynthesis|Inositol phosphate metabolism		(fig|1736582.3.peg.5588)
rxn03406_c0	>	Cytosol_0	(ASE09_RS17400 or ASE09_RS17615)	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0		-44.53		(1)  cpd00002[c0] + (1)  cpd00013[c0] + (1)  cpd03487[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd03488[c0]	(1)  ATP_c0[c0] + (1)  NH3_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine) -L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine) -L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine_c0[c0]	rxn03406	GLNSP1				(fig|1736582.3.peg.3625 OR fig|1736582.3.peg.3670)
rxn00029_c0	>	Cytosol_0	ASE09_RS09390	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)_c0	4.2.1.24	-15.3		(2)  cpd00338[c0] => (2)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00689[c0]	(2)  5-Aminolevulinate_c0[c0] => (2)  H2O_c0[c0] + (1)  H+_c0[c0] + (1)  Porphobilinogen_c0[c0]	rxn00029	HEM2	R00036	Porphyrin and chlorophyll metabolism	Biosynthesis|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Cofactor-Biosynthesis|HEME-SYN|Porphyrin-Compounds-Biosynthesis|Tetrapyrrole-Biosynthesis	(fig|1736582.3.peg.1955)
rxn00609_c0	=	Cytosol_0	ASE09_RS31670	myo-Inositol-1-phosphate synthase_c0		-1.68		(1)  cpd00867[c0] <=> (1)  cpd00079[c0]	(1)  Inositol 1-phosphate_c0[c0] <=> (1)  D-glucose-6-phosphate_c0[c0]	rxn00609	MI1PS				(fig|1736582.3.peg.6615)
rxn06673_c0	>	Cytosol_0	((ASE09_RS01280 or ASE09_RS12765 or ASE09_RS08065) and (ASE09_RS08065 or ASE09_RS01280 or ASE09_RS12765))	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0		-10.65		(1)  cpd00022[c0] + (1)  cpd12543[c0] => (1)  cpd00070[c0] + (1)  cpd12848[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  Carboxybiotin-carboxyl-carrier protein_c0[c0] => (1)  Malonyl-CoA_c0[c0] + (1)  Holo-[carboxylase]_c0[c0]	rxn06673		R04386	Fatty acid biosynthesis		(fig|1736582.3.peg.270 OR fig|1736582.3.peg.1678 OR fig|1736582.3.peg.2675) AND (fig|1736582.3.peg.270 OR fig|1736582.3.peg.1678 OR fig|1736582.3.peg.2675)
rxn12646_c0	=	Cytosol_0	((ASE09_RS17280 or ASE09_RS02345 or ASE09_RS06885) or ASE09_RS17715 or (ASE09_RS15540 or ASE09_RS15500))	RXN0-6983.c_c0		-0.46		(1)  cpd00001[c0] + (1)  cpd11580[c0] <=> (1)  cpd00033[c0] + (1)  cpd00053[c0]	(1)  H2O_c0[c0] + (1)  Gly-Gln_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  L-Glutamine_c0[c0]	rxn12646	MEAMP1(gly-gln)				(fig|1736582.3.peg.3601 OR fig|1736582.3.peg.1430 OR fig|1736582.3.peg.492) AND (fig|1736582.3.peg.3692) AND (fig|1736582.3.peg.3242 OR fig|1736582.3.peg.3234 OR fig|1736582.3.peg.3887)
rxn06777_c0	=	Cytosol_0	((ASE09_RS22835 or ASE09_RS11870 or ASE09_RS24460 or ASE09_RS09195 or ASE09_RS23360) and ASE09_RS22835)	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03115[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd12689[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxytetradecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxotetradecanoyl-CoA_c0[c0]	rxn06777	HACD6	R04739	Fatty acid elongation|Fatty acid degradation		(fig|1736582.3.peg.4771) AND (fig|1736582.3.peg.4771 OR fig|1736582.3.peg.5114 OR fig|1736582.3.peg.4882 OR fig|1736582.3.peg.2485 OR fig|1736582.3.peg.1913)
rxn03869_c0	>	Cytosol_0	(ASE09_RS32215 or ASE09_RS06920)	Acylamide aminohydrolase_c0		-4.72		(1)  cpd00001[c0] + (1)  cpd06707[c0] => (1)  cpd00013[c0] + (1)  cpd00153[c0]	(1)  H2O_c0[c0] + (1)  Benzamide_c0[c0] => (1)  NH3_c0[c0] + (1)  Benzoate_c0[c0]	rxn03869		R05590	Aminobenzoate degradation		(fig|1736582.3.peg.6725 OR fig|1736582.3.peg.1438)
rxn05256_c0	>	Cytosol_0	(ASE09_RS08755 and ASE09_RS08755)	AMP,sulfite:thioredoxin-disulfide oxidoreductase(adenosine-5'-phosphosulfate-forming)_c0				(1)  cpd00193[c0] + (1)  cpd11421[c0] => (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd00081[c0] + (1)  cpd11420[c0]	(1)  APS_c0[c0] + (1)  trdrd_c0[c0] => (1)  AMP_c0[c0] + (1)  H+_c0[c0] + (1)  Sulfite_c0[c0] + (1)  trdox_c0[c0]	rxn05256	APSPTi	R07176			(fig|1736582.3.peg.1824) AND (Unknown)
rxn05448_c0	>	Cytosol_0	ASE09_RS19610	10-methyl-trans-undec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0		-16.55		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd11560[c0] => (1)  cpd00003[c0] + (1)  cpd11561[c0]	(1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  10-methyl-trans-undec-2-enoyl-ACP_c0[c0] => (1)  NAD_c0[c0] + (1)  10-methyl-undecanoyl-ACP_c0[c0]	rxn05448					(fig|1736582.3.peg.4079)
rxn05446_c0	>	Cytosol_0	ASE09_RS19610	6-methyl-trans-hept-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0		-16.55		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd11552[c0] => (1)  cpd00003[c0] + (1)  cpd11553[c0]	(1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  6-methyl-trans-hept-2-enoyl-ACP_c0[c0] => (1)  NAD_c0[c0] + (1)  6-methyl-heptanoyl-ACP_c0[c0]	rxn05446					(fig|1736582.3.peg.4079)
rxn02175_c0	=	Cytosol_0	ASE09_RS20265	ATP:pantetheine-4'-phosphate adenylyltransferase_c0		1.07		(1)  cpd00002[c0] + (1)  cpd00834[c0] <=> (1)  cpd00012[c0] + (1)  cpd00655[c0]	(1)  ATP_c0[c0] + (1)  Phosphopantetheine_c0[c0] <=> (1)  PPi_c0[c0] + (1)  Dephospho-CoA_c0[c0]	rxn02175	PTPAT	R03035	Pantothenate and CoA biosynthesis	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis	(fig|1736582.3.peg.4210)
rxn01634_c0	>	Cytosol_0	(ASE09_RS19220 or ASE09_RS27350)	5-Dehydro-4-deoxy-D-glucarate hydro-lyase (decarboxylating)_c0	4.2.1.41	-12.26		(1)  cpd00067[c0] + (1)  cpd00515[c0] => (1)  cpd00001[c0] + (1)  cpd00011[c0] + (1)  cpd00340[c0]	(1)  H+_c0[c0] + (1)  5-Dehydro-4-deoxy-D-glucarate_c0[c0] => (1)  H2O_c0[c0] + (1)  CO2_c0[c0] + (1)  2,5-Dioxopentanoate_c0[c0]	rxn01634	D4DGCD	R02279	Ascorbate and aldarate metabolism	D-Galactarate-Degradation|D-Glucarate-Degradation|Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sugar-Derivatives	(fig|1736582.3.peg.5724 OR fig|1736582.3.peg.4001)
rxn00020_c0	>	Cytosol_0	(ASE09_RS27175 or ASE09_RS16575 or ASE09_RS08580 or ASE09_RS21810 or ASE09_RS28045 or ASE09_RS25275 or ASE09_RS13495)	cellobiose glucohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00158[c0] => (2)  cpd00190[c0]	(1)  H2O_c0[c0] + (1)  CELB_c0[c0] => (2)  beta-D-Glucose_c0[c0]	rxn00020		R00026	Starch and sucrose metabolism		(fig|1736582.3.peg.5875 OR fig|1736582.3.peg.2825 OR fig|1736582.3.peg.5281 OR fig|1736582.3.peg.1786 OR fig|1736582.3.peg.5689 OR fig|1736582.3.peg.3453 OR fig|1736582.3.peg.4555)
rxn02835_c0	=	Cytosol_0	(ASE09_RS18410 and ASE09_RS25205)	1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase_c0		4.04		(1)  cpd00001[c0] + (1)  cpd01777[c0] <=> (1)  cpd02979[c0]	(1)  H2O_c0[c0] + (1)  Phosphoribosyl-AMP_c0[c0] <=> (1)  phosphoribosylformiminoaicar-phosphate_c0[c0]	rxn02835	HIS4_2	R04037	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY	(fig|1736582.3.peg.3834) AND (fig|1736582.3.peg.5265)
rxn03884_c0	=	Cytosol_0	(ASE09_RS17165 and ASE09_RS17165)	2-dehydro-3-deoxy-D-gluconate-6-phosphate D-glyceraldehyde-3-phosphate-lyase_c0		0.75		(1)  cpd02711[c0] <=> (1)  cpd00020[c0] + (1)  cpd00102[c0]	(1)  2-Keto-3-deoxy-6-phosphogluconate_c0[c0] <=> (1)  Pyruvate_c0[c0] + (1)  Glyceraldehyde3-phosphate_c0[c0]	rxn03884	EDA	R05605	Pentose phosphate pathway|Pentose and glucuronate interconversions	Carbohydrates-Degradation|Degradation|ENTNER-DOUDOROFF-PWY|Energy-Metabolism|GLYCOLYSIS-E-D|SECONDARY-METABOLITE-DEGRADATION|Sugar-Derivatives|Sugars-And-Polysaccharides	(fig|1736582.3.peg.3577) AND (fig|1736582.3.peg.3577)
